DetectorType, #Points, Neighbourhood, Time 

Harris,            17,             6,   19
Harris,            15,             6,   13 
Harris,            19,             6,    9
Harris,            19,             6,   10
Harris,            25,             6,   10
Harris,            46,             6,   18
Harris,            17,             6,   11
Harris,            31,             6,   16
Harris,            25,             6,   10
Harris,            34,             6,   14
ShiTomasi,        125,             4,   15
ShiTomasi,        118,             4,   12 
ShiTomasi,        123,             4,   10
ShiTomasi,        120,             4,   11
ShiTomasi,        120,             4,   13
ShiTomasi,        113,             4,   11
ShiTomasi,        114,             4,   10
ShiTomasi,        123,             4,   11
ShiTomasi,        111,             4,   10
ShiTomasi,        112,             4,   10
FAST,             419,             7,    3
FAST,             427,             7,    3 
FAST,             404,             7,    3
FAST,             423,             7,    2
FAST,             386,             7,    3
FAST,             414,             7,    3
FAST,             418,             7,    2
FAST,             406,             7,    2
FAST,             396,             7,    2
FAST,             401,             7,    2
BRISK,            264,            22,  251
BRISK,            282,            22,  238 
BRISK,            282,            22,  261
BRISK,            277,            20,  250
BRISK,            296,            23,  263
BRISK,            279,            23,  260
BRISK,            289,            22,  245
BRISK,            272,            22,  262
BRISK,            266,            23,  263
BRISK,            254,            22,  335
ORB,               92,            57,   11
ORB,              102,            57,    8 
ORB,              106,            56,    7
ORB,              113,            55,    7
ORB,              109,            57,    7
ORB,              125,            57,    7
ORB,              130,            57,    7
ORB,              129,            55,    7
ORB,              127,            55,    7
ORB,              128,            54,    8
SIFT,             138,             5,   98
SIFT,             132,             5,   87 
SIFT,             124,             5,   94
SIFT,             137,             5,   93
SIFT,             134,             5,   96
SIFT,             140,             5,  101
SIFT,             137,             5,  117
SIFT,             148,             5,  108
SIFT,             159,             5,  104
SIFT,             137,             5,  104
